_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.008151,8000339991003249,245.998973952707,1.479931749705,8000,339991,3249,PSF,1.0,P2,1.005,1.786,1,0
0.006769,8000339991003477,245.999486740065,1.483936384873,8000,339991,3477,REX,0.002,R7,0.757,0.238,1,1
0.007441,8000339992002880,246.007014298312,1.476209675236,8000,339992,2880,PSF,0.622,P2,0.783,0.404,1,0
0.006761,8000339992002969,246.009579504154,1.477726610059,8000,339992,2969,REX,0.001,R5,1.003,0.153,1,1
0.007945,8000339992002970,246.01003645086,1.476626110538,8000,339992,2970,PSF,0.012,P3,0.916,0.255,1,1
0.005926,8000339992003004,246.004411210723,1.477977793413,8000,339992,3004,PSF,0.0,P7,1.598,0.509,1,1
3.4E-5,8000339992003014,246.006228668253,1.483584600618,8000,339992,3014,DEV,0.005,D8,0.786,0.048,0,0
0.002496,8000339992003015,246.003754543572,1.483514995123,8000,339992,3015,EXP,0.006,E8,0.54,0.086,1,1
0.003026,8000339992003016,246.004366730604,1.481242672755,8000,339992,3016,REX,0.011,R4,0.655,0.05,1,1
0.002091,8000339992003017,246.004801050392,1.482103283563,8000,339992,3017,PSF,0.688,P8,4.136,0.574,1,0
0.004223,8000339992003018,246.004300297668,1.479865177424,8000,339992,3018,REX,0.001,R6,1.006,0.091,1,1
0.001443,8000339992003019,246.006330495935,1.482170094643,8000,339992,3019,REX,0.016,R6,0.915,0.087,0,0
0.004707,8000339992003020,246.006722702386,1.478927948195,8000,339992,3020,PSF,0.116,P1,0.592,0.257,1,1
7.51E-4,8000339992003021,246.007000745976,1.483600418297,8000,339992,3021,EXP,0.091,E5,0.285,0.34,0,0
7.94E-4,8000339992003022,246.005900627939,1.482897617814,8000,339992,3022,EXP,0.026,E0,0.442,0.918,0,0
7.17E-4,8000339992003023,246.005562357035,1.48381499466,8000,339992,3023,EXP,0.969,E9,0.241,0.06,0,0
0.004484,8000339992003024,246.005350030869,1.479218721392,8000,339992,3024,PSF,0.001,P7,1.095,0.483,1,0
0.006687,8000339992003025,246.001405582779,1.478999625038,8000,339992,3025,EXP,0.013,E6,0.563,0.076,1,1
0.006239,8000339992003047,246.011436443472,1.480139863404,8000,339992,3047,REX,0.028,R3,0.398,0.07,1,1
0.0034,8000339992003061,246.00742791599,1.480421608457,8000,339992,3061,PSF,0.453,P8,3.968,0.626,0,0
0.003112,8000339992003062,246.008045892929,1.48106926073,8000,339992,3062,PSF,1.0,P4,2.476,1.167,1,0
0.007915,8000339992003067,246.013665284434,1.480835973017,8000,339992,3067,PSF,0.0,P7,1.298,0.225,1,1
0.00506,8000339992003115,246.011218039627,1.482641868209,8000,339992,3115,PSF,0.001,P0,0.977,0.671,1,0
0.005196,8000339992003116,246.001088072337,1.483000159347,8000,339992,3116,PSF,0.023,P5,0.626,0.599,0,0
0.004775,8000339992003117,246.001574698475,1.482634881679,8000,339992,3117,PSF,0.002,P7,1.14,0.481,1,0
0.004652,8000339992003213,246.01046068352,1.485592210417,8000,339992,3213,REX,0.002,R6,1.042,0.085,1,1
0.005657,8000339992003214,246.011629716686,1.485364890757,8000,339992,3214,PSF,0.007,P0,0.88,0.651,1,0
0.006207,8000339992003215,246.011920828522,1.486139385514,8000,339992,3215,PSF,0.038,P3,1.102,0.279,1,1
0.00264,8000339992003217,246.004424998583,1.485518910301,8000,339992,3217,PSF,0.003,P1,0.702,0.197,1,1
0.002836,8000339992003221,246.00636143678,1.486444493045,8000,339992,3221,PSF,0.004,P2,0.228,0.15,1,1
0.003481,8000339992003222,246.006899311576,1.487031028716,8000,339992,3222,REX,0.018,R6,0.91,0.139,0,0
0.003333,8000339992003223,246.008093152446,1.486388388169,8000,339992,3223,PSF,0.007,P9,1.301,0.722,1,0
0.003249,8000339992003224,246.008638238749,1.485814245785,8000,339992,3224,PSF,0.06,P0,1.548,0.709,1,0
0.003943,8000339992003225,246.007232718249,1.487429706553,8000,339992,3225,PSF,0.0,P7,1.541,0.286,1,1
0.004227,8000339992003274,246.004090343655,1.487245490623,8000,339992,3274,REX,0.021,R8,1.167,0.084,1,1
0.004656,8000339992003297,246.008888218214,1.487448342927,8000,339992,3297,REX,0.003,R6,0.895,0.232,1,1
0.006046,8000339992003333,246.005221866561,1.489569385718,8000,339992,3333,PSF,0.004,P7,1.039,0.431,1,0
0.006852,8000339992003367,246.006386195498,1.490462164807,8000,339992,3367,PSF,0.553,P3,1.145,0.305,1,0
0.007545,8000339992003290,246.012538074012,1.487784388064,8000,339992,3290,PSF,0.999,P4,1.72,1.327,1,0
0.007216,8000339992003335,246.009721891714,1.489938053106,8000,339992,3335,PSF,0.622,P8,3.269,0.812,1,0
0.008037,8000339992003394,246.007763333766,1.491503990285,8000,339992,3394,REX,0.81,R7,0.823,0.155,1,1
0.008249,8000339992003270,246.000703863786,1.489719321811,8000,339992,3270,PSF,1.0,P2,0.877,0.654,0,0
