_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.009004,8000435761002184,140.806199502925,18.487697399835,8000,435761,2184,PSF,0.002,P0,1.028,0.753,1,0
0.00848,8000435761002192,140.815805938209,18.488508428711,8000,435761,2192,PSF,0.003,P6,1.258,0.233,1,1
0.005741,8000435761002193,140.80871380714,18.490178424235,8000,435761,2193,REX,0.048,R5,1.07,0.12,1,1
0.007959,8000435761002194,140.807503936257,18.488250117134,8000,435761,2194,PSF,0.02,P9,1.492,0.634,1,0
0.0067,8000435761002195,140.807815973059,18.489497833674,8000,435761,2195,REX,0.0,R1,0.82,0.236,1,1
0.008283,8000435761002224,140.817855140397,18.490630709445,8000,435761,2224,PSF,1.0,P4,2.27,1.464,1,0
0.006464,8000435761002227,140.814848441918,18.490332814934,8000,435761,2227,REX,0.0,R7,1.171,0.216,1,1
0.004916,8000435761002246,140.813742294708,18.491487263926,8000,435761,2246,PSF,0.006,P7,0.774,0.427,1,0
0.002873,8000435761002283,140.813510136429,18.494209419865,8000,435761,2283,PSF,0.008,P2,0.539,0.175,1,1
0.001791,8000435761002285,140.812713952323,18.495392345647,8000,435761,2285,REX,0.006,R5,0.969,0.182,1,1
0.004128,8000435761002304,140.815149307139,18.495016774703,8000,435761,2304,PSF,0.001,P7,1.006,0.301,1,1
0.006644,8000435761002360,140.816747422014,18.499117078086,8000,435761,2360,PSF,0.344,P3,0.866,0.198,1,0
0.007033,8000435761002361,140.817588898477,18.498456532224,8000,435761,2361,PSF,0.001,P0,0.46,0.709,1,0
0.008212,8000435761002211,140.805136768834,18.489371062574,8000,435761,2211,PSF,0.001,P9,1.024,0.367,1,1
0.005361,8000435761002247,140.806958722266,18.49165170789,8000,435761,2247,PSF,0.007,P6,0.712,0.151,1,1
1.79E-4,8000435761002281,140.810969644943,18.495431420856,8000,435761,2281,DEV,0.001,D8,0.682,0.053,1,1
9.06E-4,8000435761002282,140.809896786125,18.495734800862,8000,435761,2282,PSF,0.889,P4,2.011,0.604,0,0
0.001857,8000435761002284,140.810208832769,18.497315313756,8000,435761,2284,EXP,0.006,E7,0.686,0.118,0,0
0.007141,8000435761002290,140.803456954155,18.494122408304,8000,435761,2290,PSF,0.0,P7,1.297,0.408,1,1
0.004809,8000435761002334,140.80584367921,18.496414366013,8000,435761,2334,REX,0.27,R8,0.997,0.087,1,1
0.003829,8000435761002355,140.807798593988,18.49808109014,8000,435761,2355,REX,0.001,R4,0.503,0.055,1,1
0.004032,8000435761002382,140.811014153603,18.499584145949,8000,435761,2382,PSF,0.0,P3,1.037,0.339,1,1
0.005806,8000435761002398,140.808250006712,18.500819817084,8000,435761,2398,EXP,0.009,E6,0.711,0.085,1,1
0.006391,8000435761002399,140.80756953143,18.501147471796,8000,435761,2399,PSF,0.003,P1,0.504,0.218,1,1
0.007247,8000435761002408,140.815844518941,18.501026886345,8000,435761,2408,DEV,0.001,D0,0.862,0.045,1,1
0.008037,8000435761002445,140.813874673883,18.503057259815,8000,435761,2445,PSF,0.004,P9,0.873,0.211,1,1
