_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.009564,8001585060003503,94.560185988427,50.296384498656,8001,585060,3503,EXP,0.001,E8,0.536,0.097,1,1
0.007999,8001585060003587,94.562100668382,50.29783864646,8001,585060,3587,REX,0.475,R4,0.408,0.094,1,1
0.008713,8001585060003588,94.563210187713,50.297131681122,8001,585060,3588,EXP,0.003,E6,0.642,0.111,1,1
0.009305,8001585060003608,94.551477203311,50.299749146807,8001,585060,3608,PSF,1.0,P2,0.837,0.462,1,0
0.007962,8001585060003609,94.551007223695,50.3027505166,8001,585060,3609,PSF,1.0,P2,0.85,0.513,1,0
0.007736,8001585060003618,94.567856785267,50.298895268982,8001,585060,3618,REX,0.001,R4,0.622,0.242,1,1
0.006583,8001585060003678,94.554955483757,50.301348341551,8001,585060,3678,EXP,0.005,E7,0.618,0.114,1,1
0.009423,8001585060003646,94.574462666011,50.30031888683,8001,585060,3646,EXP,0.005,E8,0.548,0.071,1,1
0.0055,8001585060003680,94.567693366532,50.301446346008,8001,585060,3680,PSF,0.428,P2,0.263,0.141,1,0
0.003455,8001585060003706,94.561110275531,50.302493870685,8001,585060,3706,REX,0.005,R6,0.696,0.177,1,1
0.004716,8001585060003713,94.569270787963,50.303951128905,8001,585060,3713,REX,0.014,R3,0.44,0.059,1,1
8.91E-4,8001585060003743,94.563892802122,50.305882137895,8001,585060,3743,COMP,0.012,C5,0.519,0.077,1,1
0.003435,8001585060003776,94.557738460698,50.307431291125,8001,585060,3776,PSF,0.085,P2,0.44,0.137,1,1
0.009612,8001585060003777,94.54820651228,50.308841608965,8001,585060,3777,REX,0.012,R4,0.83,0.097,0,0
0.008058,8001585060003778,94.551876399592,50.310181075333,8001,585060,3778,DEV,0.859,D6,0.687,0.101,0,0
0.005476,8001585060003783,94.554112188778,50.3069679712,8001,585060,3783,REX,0.001,R2,1.278,0.343,0,0
0.004664,8001585060003784,94.555573009403,50.307311020974,8001,585060,3784,REX,0.001,R0,0.688,0.267,1,1
0.009683,8001585060003786,94.551972053854,50.312800983328,8001,585060,3786,PSF,0.995,P4,2.734,1.319,1,0
0.007696,8001585060003787,94.550677064585,50.307322160549,8001,585060,3787,PSF,0.987,P2,1.025,0.929,0,0
0.007021,8001585060003864,94.571293937404,50.310046865852,8001,585060,3864,REX,0.001,R7,0.342,0.218,1,1
0.008462,8001585060003865,94.57316444823,50.310854941107,8001,585060,3865,REX,0.0,R2,1.11,0.35,1,1
0.009358,8001585060003866,94.575147792351,50.310557569526,8001,585060,3866,PSF,0.003,P7,0.592,0.291,1,1
0.0049,8001585060003874,94.563635370748,50.310678886018,8001,585060,3874,REX,0.009,R7,0.533,0.168,1,1
0.00502,8001585060003875,94.560801842633,50.310734368148,8001,585060,3875,PSF,0.999,P2,0.551,1.804,1,0
0.0083,8001585060003969,94.567865202367,50.313392911779,8001,585060,3969,REX,0.001,R2,0.934,0.251,1,1
0.008965,8001585060003986,94.558792910862,50.314479718131,8001,585060,3986,REX,0.004,R0,0.585,0.26,1,1
