_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.007971,8000348966001775,329.687843226388,2.951757149546,8000,348966,1775,PSF,1.0,P2,5.227,4.755,1,0
0.007667,8000348966001776,329.687600774238,2.951960012837,8000,348966,1776,PSF,1.0,P4,2.148,0.813,0,0
0.00593,8000348966001783,329.683341636729,2.952403176046,8000,348966,1783,DEV,0.014,D2,0.355,0.027,1,1
0.007614,8000348966001809,329.690935228262,2.958908047984,8000,348966,1809,EXP,0.023,E8,0.342,0.05,1,1
0.007077,8000348966001814,329.690368495037,2.957480186833,8000,348966,1814,REX,0.016,R4,0.451,0.066,1,1
0.006441,8000348966001815,329.689502298946,2.956455849789,8000,348966,1815,DEV,0.005,D3,0.565,0.068,1,1
0.004703,8000348966001826,329.686946008757,2.955316956256,8000,348966,1826,PSF,0.015,P7,0.565,0.302,0,0
0.001342,8000348966001802,329.681991088736,2.958406941148,8000,348966,1802,DEV,0.021,D1,0.279,0.019,1,1
0.004392,8000348966001803,329.686987899662,2.960776551419,8000,348966,1803,REX,0.031,R3,0.292,0.054,1,1
0.003102,8000348966001804,329.68140683684,2.960766803403,8000,348966,1804,REX,0.036,R3,0.302,0.05,1,1
0.003778,8000348966001805,329.686818753858,2.956864967046,8000,348966,1805,REX,0.009,R3,0.34,0.059,1,1
0.001638,8000348966001806,329.682934339265,2.959922604741,8000,348966,1806,REX,0.025,R4,0.406,0.146,0,0
0.006241,8000348966001807,329.678293289745,2.954642737057,8000,348966,1807,REX,0.004,R4,0.592,0.061,1,1
0.007474,8000348966001808,329.677228344879,2.954010439351,8000,348966,1808,REX,0.062,R4,0.346,0.079,1,1
0.004175,8000348966001811,329.680356732774,2.955402119368,8000,348966,1811,PSF,0.091,P3,1.258,0.309,0,0
0.002431,8000348966001812,329.68473787206,2.956347707341,8000,348966,1812,EXP,0.053,E8,0.366,0.121,1,1
0.004625,8000348966001813,329.687951237544,2.957985518121,8000,348966,1813,REX,0.01,R3,0.574,0.054,1,1
0.005635,8000348966001816,329.679236493836,2.954458193442,8000,348966,1816,REX,0.243,R4,0.294,0.111,1,1
0.001512,8000348966001817,329.68422872183,2.959552076826,8000,348966,1817,EXP,0.006,E0,0.823,0.164,0,0
0.008193,8000348966001819,329.691113768381,2.960931717738,8000,348966,1819,REX,0.001,R7,0.525,0.13,1,1
0.006952,8000348966001823,329.687942242572,2.963543215882,8000,348966,1823,REX,0.004,R0,0.895,0.164,1,1
0.006067,8000348966001824,329.688317991319,2.961800751735,8000,348966,1824,REX,0.006,R1,0.704,0.287,1,1
0.007591,8000348966001825,329.678038730906,2.952886218425,8000,348966,1825,PSF,0.098,P6,1.139,0.191,1,1
0.004728,8000348966001827,329.678702962957,2.95931848528,8000,348966,1827,REX,0.014,R9,0.287,0.178,0,0
0.003644,8000348966001828,329.684617030352,2.954922342151,8000,348966,1828,REX,0.012,R0,0.62,0.433,0,0
0.001381,8000348966001830,329.682441329213,2.959388364601,8000,348966,1830,REX,0.115,R3,0.317,0.251,0,0
0.003867,8000348966001831,329.680756510192,2.955446891848,8000,348966,1831,REX,0.982,R7,0.565,0.349,0,0
0.002067,8000348966001832,329.684426090635,2.960088236392,8000,348966,1832,REX,0.126,R1,0.734,0.283,0,0
0.005186,8000348966001833,329.678431909994,2.956618929671,8000,348966,1833,REX,0.035,R9,0.257,0.19,0,0
0.006894,8000348966001938,329.676430199658,2.958317145504,8000,348966,1938,PSF,0.002,P6,0.577,0.161,1,1
0.008102,8000348966001964,329.675484278547,2.960384131499,8000,348966,1964,DEV,0.048,D2,0.307,0.02,1,1
0.006894,8000348966002021,329.678071143981,2.962795762968,8000,348966,2021,COMP,1.0,C4,1.6,1.182,1,0
0.007561,8000348966002022,329.678308381767,2.963988577838,8000,348966,2022,PSF,0.284,P7,1.294,0.365,0,0
0.006584,8000348966002064,329.68374570468,2.964904010032,8000,348966,2064,REX,0.032,R4,0.484,0.096,1,1
0.005544,8000348966002065,329.683799376911,2.963857337787,8000,348966,2065,REX,0.089,R0,0.573,0.233,1,1
0.007614,8000348966002066,329.683958321414,2.965921455159,8000,348966,2066,PSF,0.005,P0,0.702,0.72,1,0
0.005996,8000348966002067,329.681151020274,2.963919457706,8000,348966,2067,REX,0.001,R8,0.759,0.178,1,1
