_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.006597,8000239432003711,23.017076896367,-16.010473701048,8000,239432,3711,PSF,0.002,P9,0.715,0.319,1,1
0.006744,8000239432003820,23.02327408372,-16.006155490176,8000,239432,3820,EXP,0.001,E5,0.966,0.117,1,1
0.00694,8000239432003821,23.023010465437,-16.007201653136,8000,239432,3821,PSF,0.041,P5,0.772,0.536,0,0
9.08E-4,8000239432003828,23.015735268414,-16.00404195219,8000,239432,3828,DEV,0.038,D1,0.359,0.04,1,1
0.003644,8000239432003829,23.01367514687,-16.006126797801,8000,239432,3829,REX,0.003,R4,0.451,0.06,1,1
0.003438,8000239432003830,23.019051962129,-16.001327668852,8000,239432,3830,REX,0.004,R4,0.486,0.05,1,1
0.00317,8000239432003831,23.015741872555,-16.006931746735,8000,239432,3831,REX,0.001,R4,0.536,0.058,1,1
1.91E-4,8000239432003832,23.016708786291,-16.003701754549,8000,239432,3832,REX,0.0,R7,1.144,0.333,0,0
0.002085,8000239432003833,23.015589585314,-16.002079602045,8000,239432,3833,REX,0.001,R6,0.837,0.081,0,0
0.001353,8000239432003834,23.016302141073,-16.00258201427,8000,239432,3834,PSF,0.002,P7,0.611,0.319,0,0
0.00437,8000239432003835,23.014145987626,-16.007525396721,8000,239432,3835,PSF,0.004,P0,2.792,0.741,0,0
0.002761,8000239432003836,23.018631137994,-16.001875103105,8000,239432,3836,REX,0.0,R5,1.213,0.242,0,0
0.00491,8000239432003838,23.019537427398,-16.007949668565,8000,239432,3838,REX,0.001,R5,0.929,0.117,1,1
0.004235,8000239432003839,23.017747474637,-16.007994989605,8000,239432,3839,REX,0.0,R7,1.227,0.219,1,1
0.006374,8000239432003840,23.021089236534,-16.00863881,8000,239432,3840,REX,0.001,R5,1.326,0.312,1,1
0.002871,8000239432003914,23.01920075593,-16.005408024019,8000,239432,3914,DEV,0.001,D0,0.788,0.133,1,1
0.004025,8000239432003915,23.02062616717,-16.005197665553,8000,239432,3915,PSF,0.0,P9,0.84,0.399,1,0
0.005131,8000239432003935,23.011506660779,-16.005201310219,8000,239432,3935,PSF,0.0,P1,1.07,0.28,1,1
0.00655,8000239432003944,23.009875452817,-16.004425737339,8000,239432,3944,EXP,0.006,E6,0.494,0.084,1,1
0.005663,8000239432004001,23.022506784703,-16.003140324444,8000,239432,4001,REX,0.006,R0,0.87,0.634,1,0
0.006644,8000239432004039,23.023056515053,-16.001356764157,8000,239432,4039,REX,0.001,R5,1.031,0.16,1,1
0.005675,8000239432004101,23.014068615897,-15.998793181712,8000,239432,4101,EXP,0.004,E5,0.691,0.226,1,1
0.005823,8000239432004104,23.012995628708,-15.999257347583,8000,239432,4104,REX,0.002,R2,0.984,0.308,1,1
0.00619,8000239432004105,23.013605604374,-15.998442775442,8000,239432,4105,REX,0.001,R2,1.997,0.473,0,0
0.006117,8000239432004176,23.017823732055,-15.99787377722,8000,239432,4176,EXP,0.001,E1,0.493,0.247,1,1
