_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.006217,8000415397001869,234.476361029379,14.717461694194,8000,415397,1869,REX,0.001,R7,0.711,0.094,1,1
0.007106,8000415397001894,234.480470636326,14.71606289971,8000,415397,1894,REX,0.005,R8,1.057,0.131,1,1
0.008144,8000415397001896,234.480315728164,14.714988143042,8000,415397,1896,PSF,0.009,P9,0.966,0.326,1,1
0.007866,8000415397001905,234.478367548685,14.715227859855,8000,415397,1905,PSF,0.003,P9,1.321,0.46,1,1
0.004347,8000415397001980,234.479187030433,14.718708642796,8000,415397,1980,REX,0.002,R0,0.932,0.233,1,1
0.004013,8000415397001981,234.478202638269,14.719152547727,8000,415397,1981,PSF,0.004,P5,1.213,0.528,1,0
0.004369,8000415397001990,234.47468205789,14.72252853442,8000,415397,1990,PSF,0.027,P2,0.337,0.141,1,1
0.005073,8000415397001991,234.473924949666,14.723229815919,8000,415397,1991,REX,0.015,R0,0.608,0.162,1,1
0.002628,8000415397002026,234.47659929622,14.722194513479,8000,415397,2026,REX,0.662,R6,0.743,0.184,1,1
0.007259,8000415397002055,234.47166804796,14.723368441878,8000,415397,2055,PSF,0.977,P4,2.731,0.99,1,0
0.007338,8000415397002056,234.471719316161,14.724457380447,8000,415397,2056,PSF,0.001,P7,1.657,0.514,1,1
0.006239,8000415397001960,234.48307600231,14.718092545165,8000,415397,1960,REX,0.003,R4,0.732,0.105,1,1
0.007904,8000415397001979,234.486120612148,14.718902900296,8000,415397,1979,REX,0.074,R7,0.495,0.138,1,1
0.004947,8000415397001983,234.481662204144,14.718737470448,8000,415397,1983,PSF,0.005,P0,1.019,0.681,1,0
0.002943,8000415397002006,234.481394072492,14.721049915571,8000,415397,2006,REX,0.003,R6,0.684,0.122,1,1
8.19E-4,8000415397002022,234.478327357666,14.723165233195,8000,415397,2022,DEV,0.007,D8,0.653,0.043,0,0
0.001944,8000415397002023,234.477565263858,14.724231083776,8000,415397,2023,REX,0.046,R4,0.547,0.073,1,1
0.00117,8000415397002024,234.479084769438,14.72188794495,8000,415397,2024,PSF,0.424,P8,0.706,0.666,1,0
9.98E-4,8000415397002025,234.478204444398,14.722695946643,8000,415397,2025,EXP,0.002,E0,0.651,0.32,0,0
0.006015,8000415397002045,234.485378284668,14.722760853994,8000,415397,2045,EXP,0.004,E1,0.436,0.286,1,1
0.001576,8000415397002076,234.480316709177,14.72417251835,8000,415397,2076,PSF,0.0,P7,0.996,0.274,1,1
0.00738,8000415397002106,234.48630070091,14.725674759675,8000,415397,2106,REX,0.001,R6,0.771,0.175,1,1
0.003067,8000415397002107,234.481061864665,14.725514674685,8000,415397,2107,PSF,0.02,P7,1.091,0.35,1,1
0.005027,8000415397002110,234.483268541231,14.726143400961,8000,415397,2110,PSF,0.001,P1,1.004,0.236,1,1
0.00507,8000415397002111,234.47564781605,14.726813628306,8000,415397,2111,REX,0.001,R3,0.615,0.069,1,1
0.004404,8000415397002136,234.480058608674,14.72737434971,8000,415397,2136,REX,0.0,R1,1.092,0.214,1,1
