_r,id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual
0.007545,8000176705005209,30.439849933621,-27.66891891771,8000,176705,5209,REX,0.054,R5,0.828,0.402,1,0
0.006878,8000176705005210,30.4395181272,-27.668308496757,8000,176705,5210,PSF,0.028,P9,1.549,0.592,1,0
0.006955,8000176705005219,30.437570816606,-27.668621747912,8000,176705,5219,REX,0.0,R5,1.235,0.341,1,1
0.007094,8000176705005240,30.441860465448,-27.66761781821,8000,176705,5240,DEV,0.24,D0,0.911,0.04,1,1
0.006275,8000176705005241,30.441541812711,-27.666820820399,8000,176705,5241,PSF,0.965,P2,0.49,0.256,1,0
0.007,8000176705005242,30.442680038314,-27.666953985044,8000,176705,5242,DEV,0.029,D0,0.965,0.048,0,0
0.007563,8000176705005243,30.443902014676,-27.666670934594,8000,176705,5243,REX,0.008,R0,0.865,0.147,1,1
0.004581,8000176705005291,30.43535000722,-27.665832987494,8000,176705,5291,REX,0.004,R6,1.086,0.229,1,1
0.004313,8000176705005292,30.434133516107,-27.664783286012,8000,176705,5292,REX,0.129,R2,1.102,0.497,1,0
0.001338,8000176705005323,30.435998293346,-27.661808943131,8000,176705,5323,DEV,0.009,D8,0.747,0.065,0,0
0.003352,8000176705005324,30.439331004731,-27.664599959444,8000,176705,5324,PSF,0.999,P4,2.407,0.614,1,0
0.002526,8000176705005325,30.434868279038,-27.660693952106,8000,176705,5325,EXP,0.003,E1,0.515,0.092,1,1
0.001859,8000176705005326,30.439523593628,-27.662161960701,8000,176705,5326,PSF,0.36,P2,0.607,0.086,0,0
0.00224,8000176705005327,30.435836512004,-27.659979410799,8000,176705,5327,REX,0.005,R6,0.87,0.065,1,1
0.003898,8000176705005328,30.43531225316,-27.658284062988,8000,176705,5328,EXP,0.001,E6,1.007,0.155,1,1
0.001682,8000176705005329,30.437034125272,-27.660036209248,8000,176705,5329,REX,0.062,R0,0.859,0.196,1,1
3.42E-4,8000176705005330,30.437885306856,-27.661681014428,8000,176705,5330,EXP,0.003,E7,0.976,0.12,0,0
0.004439,8000176705005331,30.442281449592,-27.660335644582,8000,176705,5331,REX,0.001,R7,0.722,0.171,1,1
0.004492,8000176705005332,30.442304329223,-27.663105790629,8000,176705,5332,REX,0.005,R6,1.066,0.191,0,0
9.84E-4,8000176705005333,30.43643190045,-27.661935989739,8000,176705,5333,EXP,0.114,E1,0.452,0.321,0,0
0.001452,8000176705005334,30.435892228862,-27.661383324838,8000,176705,5334,EXP,0.006,E5,0.718,0.436,0,0
0.003241,8000176705005335,30.441071045878,-27.662373910401,8000,176705,5335,PSF,1.0,P2,1.114,1.971,1,0
0.00775,8000176705005396,30.44595583064,-27.663660503856,8000,176705,5396,REX,0.106,R6,0.981,0.174,1,1
0.00612,8000176705005405,30.444304568013,-27.66273263105,8000,176705,5405,REX,0.002,R5,1.059,0.243,1,1
0.008049,8000176705005436,30.446194784509,-27.659324574314,8000,176705,5436,PSF,0.968,P2,1.385,1.608,1,0
0.008062,8000176705005452,30.428404601281,-27.661353021417,8000,176705,5452,PSF,0.013,P5,1.623,0.531,1,0
0.006837,8000176705005453,30.4297965659,-27.661222152967,8000,176705,5453,PSF,0.003,P0,1.066,0.614,1,0
0.006308,8000176705005534,30.431436730237,-27.658357456222,8000,176705,5534,PSF,0.002,P5,2.007,0.513,1,1
0.005244,8000176705005559,30.439450381528,-27.656715578635,8000,176705,5559,REX,0.056,R3,0.459,0.07,1,1
0.004408,8000176705005560,30.438047387264,-27.657285206112,8000,176705,5560,REX,0.002,R5,1.072,0.247,1,1
0.007577,8000176705005602,30.44189596992,-27.655166444956,8000,176705,5602,PSF,0.001,P0,0.93,0.62,1,0
0.008134,8000176705005643,30.437261462184,-27.653535939597,8000,176705,5643,REX,0.002,R7,0.502,0.175,1,1
